
time,Latitude,Longitude,,
08:26:10:798,45.423883333333336,11.94778,
08:26:11:738,45.42387833333334,11.947793333333333,
08:26:12:742,45.423874999999995,11.947808333333334,
08:26:13:797,45.42386833333333,11.947831666666666,
08:26:14:743,45.42386333333334,11.947856666666667,
08:26:15:739,45.42386,11.947880000000001,
08:26:16:740,45.423855,11.947904999999999,
08:26:17:742,45.423851666666664,11.947926666666667,
08:26:18:740,45.423845,11.947943333333335,
08:26:19:738,45.423838333333336,11.947958333333334,
08:26:20:737,45.423829999999995,11.947975000000001,
08:26:21:747,45.423825,11.947991666666667,
08:26:22:742,45.42382333333333,11.948006666666666,
08:26:23:742,45.42382333333333,11.948021666666667,
08:26:24:738,45.423825,11.948036666666667,
08:26:25:747,45.42382666666667,11.948051666666666,
08:26:27:801,45.423825,11.948076666666669,
08:26:29:805,45.42382333333333,11.948091666666668,
08:26:31:810,45.42382666666667,11.948106666666668,
08:26:33:803,45.42382333333333,11.948125000000001,
08:26:34:803,45.423831666666665,11.948133333333333,
08:26:36:805,45.42384666666667,11.94816,
08:26:37:808,45.42386333333334,11.948178333333333,
08:26:38:806,45.42387833333334,11.948186666666667,
08:26:39:802,45.42389166666667,11.948201666666668,
08:26:40:807,45.42390666666667,11.948215000000001,
08:26:41:804,45.42391333333333,11.948231666666667,
08:26:42:803,45.42393333333333,11.948243333333334,
08:26:43:803,45.42394666666667,11.948253333333332,
08:26:44:809,45.423964999999995,11.948266666666665,
08:26:45:743,45.42398333333334,11.948278333333333,
08:26:46:741,45.424005,11.948283333333332,
08:26:47:740,45.424025,11.948296666666666,
08:26:48:736,45.42404499999999,11.948303333333335,
08:26:49:737,45.424066666666675,11.948303333333335,
08:26:50:738,45.42408333333333,11.948303333333335,
08:26:51:739,45.42409333333333,11.948299999999998,
08:26:53:778,45.424110000000006,11.948306666666667,
08:26:54:807,45.42411833333334,11.948315,
08:26:56:813,45.42413333333334,11.948321666666667,
08:26:59:809,45.42414999999999,11.948321666666667,
08:27:01:807,45.424164999999995,11.948323333333333,
08:27:02:814,45.42417833333334,11.948326666666667,
08:27:04:812,45.42419499999999,11.948326666666667,
08:27:05:810,45.424205,11.948323333333333,
08:27:06:761,45.424215000000004,11.948316666666665,
08:27:07:742,45.42422499999999,11.94831,
08:27:08:743,45.42423166666667,11.948299999999998,
08:27:10:797,45.424245000000006,11.948303333333335,
08:27:11:803,45.42425333333334,11.948308333333333,
08:27:12:812,45.424265,11.948313333333333,
08:27:13:810,45.42427666666667,11.948316666666665,
08:27:14:807,45.42428666666667,11.94832,
08:27:15:809,45.424303333333334,11.948321666666667,
08:27:16:739,45.42431166666667,11.948328333333333,
08:27:17:739,45.42432,11.948333333333334,
08:27:19:807,45.42433833333333,11.948338333333334,
08:27:20:811,45.424350000000004,11.948341666666666,
08:27:22:802,45.42436333333333,11.948351666666667,
08:27:24:812,45.42437833333334,11.948355,
08:27:26:809,45.424396666666674,11.948361666666665,
08:27:27:739,45.42440833333333,11.948363333333335,
08:27:28:745,45.42441999999999,11.948366666666667,
08:27:29:742,45.42443,11.948371666666667,
08:27:31:800,45.42444333333333,11.948376666666665,
08:27:32:793,45.424455,11.948378333333334,
08:27:33:810,45.42446499999999,11.948381666666668,
08:27:34:808,45.424475,11.948383333333334,
08:27:35:809,45.424485000000004,11.948386666666666,
08:27:36:810,45.42449333333334,11.948391666666664,
08:27:37:739,45.424506666666666,11.948395000000001,
08:27:38:740,45.42451666666666,11.948395000000001,
08:27:40:811,45.424528333333335,11.948388333333332,
08:27:41:809,45.42453999999999,11.948386666666666,
08:27:42:807,45.424549999999996,11.948386666666666,
08:27:44:816,45.424569999999996,11.948381666666668,
08:27:46:809,45.42458499999999,11.948374999999999,
08:27:47:812,45.424596666666666,11.948373333333333,
08:27:48:753,45.42461333333334,11.94837,
08:27:49:740,45.42462333333333,11.94837,
08:27:54:807,45.424620000000004,11.948383333333334,
08:28:04:812,45.42461333333334,11.948398333333333,
08:28:05:808,45.42461166666667,11.948411666666667,
08:28:06:808,45.42461,11.948426666666668,
08:28:07:809,45.42460500000001,11.948445,
08:28:08:807,45.42460166666667,11.94846,
08:28:09:810,45.424596666666666,11.948473333333334,
08:28:10:807,45.42459,11.948483333333336,
08:28:11:741,45.42458166666667,11.948493333333333,
08:28:12:741,45.424573333333335,11.948505,
08:28:13:741,45.42456833333334,11.948523333333332,
08:28:14:741,45.424565,11.948545000000001,
08:28:15:738,45.42456000000001,11.948568333333332,
08:28:16:740,45.42455499999999,11.948586666666666,
08:28:18:812,45.42454833333333,11.948598333333333,
08:28:19:808,45.42453833333334,11.948595000000001,
08:28:20:738,45.424528333333335,11.948596666666667,
08:28:22:809,45.42451666666666,11.948608333333334,
08:28:23:816,45.42451166666667,11.948620000000002,
08:28:24:808,45.42450166666666,11.948625,
08:28:25:812,45.42448833333333,11.94863,
08:28:26:805,45.424475,11.948638333333333,
08:28:27:802,45.424461666666666,11.948643333333333,
08:28:28:806,45.42444666666667,11.948651666666668,
08:28:29:809,45.424436666666665,11.948659999999999,
08:28:30:805,45.42442500000001,11.948663333333332,
08:28:31:809,45.42441166666667,11.94867,
08:28:32:803,45.4244,11.948678333333332,
08:28:33:808,45.42438666666667,11.948681666666667,
08:28:34:808,45.42437499999999,11.948680000000001,
08:28:35:812,45.424365,11.948685000000001,
08:28:37:806,45.424348333333334,11.948685000000001,
08:28:39:811,45.42433166666667,11.948685000000001,
08:28:40:805,45.42432166666667,11.948696666666669,
08:28:41:805,45.42431,11.948701666666667,
